category,datetime,headline,id,image,related,source,summary,url
company,2023-06-12 18:52:00,"American Electric Power Co. Inc. stock rises Monday, still underperforms market",120939537,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. inched 0.01% higher to $83.69 Monday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=9eb42209dabb776e656e1590e517ae8c32abe7da2334c8f57f58f892193e2e22
company,2023-06-12 12:51:00,UK shareholder meetings calendar - next 7 days,120827150,,AEP,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=d494f6529cb685e3d69e4f8981af60e872fbb0cf2fc2c73864d553c35083a454
company,2023-06-13 19:55:00,American Electric Power Co. Inc. stock underperforms Tuesday when compared to competitors,120939536,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. slipped 0.67% to $83.13 Tuesday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=3ffcd077245848f0745f5081403fa6250e227fb53eeda6d7d4d7b538a7f8e9c8
company,2023-06-13 12:54:00,UK shareholder meetings calendar - next 7 days,120844591,,AEP,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=4855935d1c89580f2d1b6e238ab58c877e9799380a86bfaab29f683252be539e
company,2023-06-12 18:52:00,"American Electric Power Co. Inc. stock rises Monday, still underperforms market",120939537,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. inched 0.01% higher to $83.69 Monday, on what proved to be an all-around great trading session for the stock...",https://finnhub.io/api/news?id=9eb42209dabb776e656e1590e517ae8c32abe7da2334c8f57f58f892193e2e22
company,2023-06-14 18:52:00,American Electric Power Co. Inc. stock outperforms competitors on strong trading day,120939535,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. inched 0.58% higher to $83.61 Wednesday, on what proved to be an all-around mixed trading session for the stock...",https://finnhub.io/api/news?id=8978536f107ea8755dedfcb464a424ef6ff6640b366350814d24e3d9c0be0fff
company,2023-06-14 12:57:00,UK shareholder meetings calendar - next 7 days,120863749,,AEP,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=f47674fe985027e550b41724f6e4e433f20e9be334b7d9d667f99a93b0fe9bf4
company,2023-06-13 19:55:00,American Electric Power Co. Inc. stock underperforms Tuesday when compared to competitors,120939536,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. slipped 0.67% to $83.13 Tuesday, on what proved to be an all-around positive trading session for the stock market,...",https://finnhub.io/api/news?id=3ffcd077245848f0745f5081403fa6250e227fb53eeda6d7d4d7b538a7f8e9c8
company,2023-06-15 18:52:00,American Electric Power Co. Inc. stock outperforms market on strong trading day,120939534,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. rose 1.52% to $84.88 Thursday, on what proved to be an all-around great trading session for the stock market, with...",https://finnhub.io/api/news?id=9472aaed6eef9896f573e6ae39ea3eb9fbb36026fa01fcd2f371a56f76ac2957
company,2023-06-15 12:51:00,UK shareholder meetings calendar - next 7 days,120888212,,AEP,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ab75d79d29fc634754beb2cd66f94398cad6373d1fce8539d209bc1a0dd53413
company,2023-06-14 18:52:00,American Electric Power Co. Inc. stock outperforms competitors on strong trading day,120939535,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. inched 0.58% higher to $83.61 Wednesday, on what proved to be an all-around mixed trading session for the stock...",https://finnhub.io/api/news?id=8978536f107ea8755dedfcb464a424ef6ff6640b366350814d24e3d9c0be0fff
company,2023-06-16 19:25:24,Exelon: Attractive Finances And Valuation Plus Resistance To Recessions,120918739,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1369613305/image_1369613305.jpg?io=getty-c-w1536,AEP,SeekingAlpha,"Exelon Corporation is relatively resistant to economic shocks, which should be attractive if the economy falls into a recession. Click for my take on EXC stock.",https://finnhub.io/api/news?id=f1a096e662440d4372b7595cee8195eb12c7f4f7ff8ceb03d2f26738ec0504f6
company,2023-06-16 18:52:00,American Electric Power Co. Inc. stock outperforms market on strong trading day,120939533,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. inched 0.06% higher to $84.93 Friday, on what proved to be an all-around poor trading session for the stock...",https://finnhub.io/api/news?id=84986e3894a46dd8b9558f9d1fecea998eb6d9729ad8ac1254a1aa9e0a78566d
company,2023-06-16 06:50:00,SMALL-CAP WINNERS & LOSERS: Mears says profit to exceed expectations,120914283,,AEP,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=629f8b8822035364010267b55f8ef93eab3888c3362e5791e0928abad5c0620e
company,2023-06-16 06:30:00,Anglo-Eastern Plantations fruit bunches output falls as price drops,120914284,,AEP,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3f5ccff9d1865904008638b9692b634fb5cc65b276a02f57e24cf839f458ad0d
company,2023-06-15 12:51:00,UK shareholder meetings calendar - next 7 days,120888212,,AEP,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ab75d79d29fc634754beb2cd66f94398cad6373d1fce8539d209bc1a0dd53413
company,2023-06-16 19:25:24,Exelon: Attractive Finances And Valuation Plus Resistance To Recessions,120918739,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1369613305/image_1369613305.jpg?io=getty-c-w1536,AEP,SeekingAlpha,"Exelon Corporation is relatively resistant to economic shocks, which should be attractive if the economy falls into a recession. Click for my take on EXC stock.",https://finnhub.io/api/news?id=f1a096e662440d4372b7595cee8195eb12c7f4f7ff8ceb03d2f26738ec0504f6
company,2023-06-16 18:52:00,American Electric Power Co. Inc. stock outperforms market on strong trading day,120939533,https://images.mktw.net/im-220105/social,AEP,MarketWatch,"Shares of American Electric Power Co. Inc. inched 0.06% higher to $84.93 Friday, on what proved to be an all-around poor trading session for the stock...",https://finnhub.io/api/news?id=84986e3894a46dd8b9558f9d1fecea998eb6d9729ad8ac1254a1aa9e0a78566d
company,2023-06-16 06:50:00,SMALL-CAP WINNERS & LOSERS: Mears says profit to exceed expectations,120914283,,AEP,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=629f8b8822035364010267b55f8ef93eab3888c3362e5791e0928abad5c0620e
company,2023-06-16 06:30:00,Anglo-Eastern Plantations fruit bunches output falls as price drops,120914284,,AEP,Alliance News,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=3f5ccff9d1865904008638b9692b634fb5cc65b276a02f57e24cf839f458ad0d
company,2023-06-19 23:08:58,American Electric Power: The Dividends Are Overpriced,120951351,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1475185891/image_1475185891.jpg?io=getty-c-w1536,AEP,SeekingAlpha,American Electric Power's fair value is estimated to be in the range of $47 to $83 per share. Explore here to know why we currently rate AEP stock as ,https://finnhub.io/api/news?id=6841afb05c2b503ca463e180776e4026f9c1ecf9e491ab28a9485345a7974478
