Symbol,Model,Buy and Hold Cumulative Returns,Final Buy and Hold Return,Basic Strategy Cumulative Returns,Final Basic Strategy Return,Quantile Strategy Cumulative Returns,Final Quantile Strategy Return,Trend Strategy Cumulative Returns,Final Trend Strategy Return,Mean Reversion Strategy Cumulative Returns,Final Mean Reversion Strategy Return
XOM,XGB Prediction,"0           NaN
1     -0.003771
2      0.005243
3      0.008554
4      0.009612
         ...   
397    0.048105
398    0.049845
399    0.051325
400    0.053072
401    0.028422
Name: Cumulative Buy and Hold Returns, Length: 402, dtype: float64",0.02842159955110679,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.007546
398   -0.006147
399   -0.006147
400   -0.006147
401   -0.006147
Name: Cumulative Returns, Length: 402, dtype: float64",-0.006147338049182771,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.005493
398   -0.005493
399   -0.005493
400   -0.005493
401   -0.005493
Name: Cumulative Returns, Length: 402, dtype: float64",-0.005492721062739014,"0      0.00000
1      0.00000
2      0.00000
3      0.00000
4      0.00000
        ...   
397    0.00091
398    0.00232
399    0.00232
400    0.00232
401        NaN
Name: Trend Strategy Returns, Length: 402, dtype: float64",,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397    0.006832
398    0.006832
399    0.006832
400    0.006832
401         NaN
Name: Mean Reversion Strategy Returns, Length: 402, dtype: float64",
XOM,XGB Prediction,,0.02842159955110679,,-0.006147338049182771,,-0.005492721062739014,,0.0023196501121707236,,0.006831616228964776
XOM,RF Prediction,"0           NaN
1     -0.003771
2      0.005243
3      0.008554
4      0.009612
         ...   
397    0.048105
398    0.049845
399    0.051325
400    0.053072
401    0.028422
Name: Cumulative Buy and Hold Returns, Length: 402, dtype: float64",0.02842159955110679,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.013015
398   -0.013015
399   -0.013015
400   -0.013015
401   -0.013015
Name: Cumulative Returns, Length: 402, dtype: float64",-0.0130151652528544,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.003655
398   -0.003655
399   -0.003655
400   -0.003655
401   -0.003655
Name: Cumulative Returns, Length: 402, dtype: float64",-0.0036552524264341635,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.007003
398   -0.007003
399   -0.007003
400   -0.007003
401         NaN
Name: Trend Strategy Returns, Length: 402, dtype: float64",,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.001981
398   -0.001981
399   -0.001981
400   -0.001981
401         NaN
Name: Mean Reversion Strategy Returns, Length: 402, dtype: float64",
XOM,RF Prediction,,0.02842159955110679,,-0.0130151652528544,,-0.0036552524264341635,,-0.007002555567174884,,-0.001981190149981771
XOM,LR Prediction,"0           NaN
1     -0.003771
2      0.005243
3      0.008554
4      0.009612
         ...   
397    0.048105
398    0.049845
399    0.051325
400    0.053072
401    0.028422
Name: Cumulative Buy and Hold Returns, Length: 402, dtype: float64",0.02842159955110679,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.024666
398   -0.024666
399   -0.024666
400   -0.024666
401   -0.024666
Name: Cumulative Returns, Length: 402, dtype: float64",-0.02466559706632232,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.009156
398   -0.009156
399   -0.009156
400   -0.009156
401   -0.009156
Name: Cumulative Returns, Length: 402, dtype: float64",-0.009155555653057146,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.019825
398   -0.019825
399   -0.019825
400   -0.019825
401         NaN
Name: Trend Strategy Returns, Length: 402, dtype: float64",,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.012146
398   -0.012146
399   -0.012146
400   -0.012146
401         NaN
Name: Mean Reversion Strategy Returns, Length: 402, dtype: float64",
XOM,LR Prediction,,0.02842159955110679,,-0.02466559706632232,,-0.009155555653057146,,-0.01982521173011509,,-0.012146453918703282
XOM,Ensemble Prediction,"0           NaN
1     -0.003771
2      0.005243
3      0.008554
4      0.009612
         ...   
397    0.048105
398    0.049845
399    0.051325
400    0.053072
401    0.028422
Name: Cumulative Buy and Hold Returns, Length: 402, dtype: float64",0.02842159955110679,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.032157
398   -0.032157
399   -0.032157
400   -0.032157
401   -0.032157
Name: Cumulative Returns, Length: 402, dtype: float64",-0.03215675554191588,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397    0.000681
398    0.000681
399    0.000681
400    0.000681
401    0.000681
Name: Cumulative Returns, Length: 402, dtype: float64",0.0006808133398905625,"0      0.00000
1      0.00000
2      0.00000
3      0.00000
4      0.00000
        ...   
397   -0.03012
398   -0.03012
399   -0.03012
400   -0.03012
401        NaN
Name: Trend Strategy Returns, Length: 402, dtype: float64",,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.005276
398   -0.005276
399   -0.005276
400   -0.005276
401         NaN
Name: Mean Reversion Strategy Returns, Length: 402, dtype: float64",
XOM,Ensemble Prediction,,0.02842159955110679,,-0.03215675554191588,,0.0006808133398905625,,-0.03012044473865083,,-0.005275872944782489
XOM,RF Prediction,"0           NaN
1     -0.003771
2      0.005243
3      0.008554
4      0.009612
         ...   
397    0.048105
398    0.049845
399    0.051325
400    0.053072
401    0.028422
Name: Cumulative Buy and Hold Returns, Length: 402, dtype: float64",0.02842159955110679,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.013015
398   -0.013015
399   -0.013015
400   -0.013015
401         NaN
Name: Cumulative Returns, Length: 402, dtype: float64",,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.003655
398   -0.003655
399   -0.003655
400   -0.003655
401         NaN
Name: Cumulative Returns, Length: 402, dtype: float64",,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.007003
398   -0.007003
399   -0.007003
400   -0.007003
401         NaN
Name: Trend Strategy Returns, Length: 402, dtype: float64",,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.001981
398   -0.001981
399   -0.001981
400   -0.001981
401         NaN
Name: Mean Reversion Strategy Returns, Length: 402, dtype: float64",
XOM,XGB Prediction,"0           NaN
1     -0.003771
2      0.005243
3      0.008554
4      0.009612
         ...   
397    0.048105
398    0.049845
399    0.051325
400    0.053072
401    0.028422
Name: Cumulative Buy and Hold Returns, Length: 402, dtype: float64",0.02842159955110679,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.007546
398   -0.006147
399   -0.006147
400   -0.006147
401         NaN
Name: Cumulative Returns, Length: 402, dtype: float64",,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397   -0.005493
398   -0.005493
399   -0.005493
400   -0.005493
401         NaN
Name: Cumulative Returns, Length: 402, dtype: float64",,"0      0.00000
1      0.00000
2      0.00000
3      0.00000
4      0.00000
        ...   
397    0.00091
398    0.00232
399    0.00232
400    0.00232
401        NaN
Name: Trend Strategy Returns, Length: 402, dtype: float64",,"0      0.000000
1      0.000000
2      0.000000
3      0.000000
4      0.000000
         ...   
397    0.006832
398    0.006832
399    0.006832
400    0.006832
401         NaN
Name: Mean Reversion Strategy Returns, Length: 402, dtype: float64",
