level_0,Datetime,Open,High,Low,Close,Adj Close,Volume,Ticker,datetime,avg_headline_sentiment,avg_summary_sentiment,weighted_headline_sentiment,weighted_summary_sentiment,sum_headline_sentiment,sum_summary_sentiment,extreme_headline_sentiment,extreme_summary_sentiment,positive,negative,neutral,positive_rolling,negative_rolling,neutral_rolling,roc_avg_headline_sentiment,rsi_avg_headline_sentiment,sma_avg_headline_sentiment,slope_avg_headline_sentiment,roc_avg_summary_sentiment,rsi_avg_summary_sentiment,sma_avg_summary_sentiment,slope_avg_summary_sentiment,roc_weighted_headline_sentiment,rsi_weighted_headline_sentiment,sma_weighted_headline_sentiment,slope_weighted_headline_sentiment,roc_weighted_summary_sentiment,rsi_weighted_summary_sentiment,sma_weighted_summary_sentiment,slope_weighted_summary_sentiment,roc_sum_headline_sentiment,rsi_sum_headline_sentiment,sma_sum_headline_sentiment,slope_sum_headline_sentiment,roc_sum_summary_sentiment,rsi_sum_summary_sentiment,sma_sum_summary_sentiment,slope_sum_summary_sentiment,roc_extreme_headline_sentiment,rsi_extreme_headline_sentiment,sma_extreme_headline_sentiment,slope_extreme_headline_sentiment,roc_extreme_summary_sentiment,rsi_extreme_summary_sentiment,sma_extreme_summary_sentiment,slope_extreme_summary_sentiment,roc_positive_rolling,rsi_positive_rolling,sma_positive_rolling,slope_positive_rolling,roc_negative_rolling,rsi_negative_rolling,sma_negative_rolling,slope_negative_rolling,roc_neutral_rolling,rsi_neutral_rolling,sma_neutral_rolling,slope_neutral_rolling,pct_change,rolling_correlation,rolling_p_value,significant_correlation,rsi,sma,roc,slope
95326,2024-03-12 13:00:00+00:00,180.91000366210938,181.47000122070312,180.3300018310547,181.1999969482422,181.1999969482422,72773.0,AME,2024-03-12 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,100.0,1.6,0.39999999999999997,,,,False,,,,
95327,2024-03-12 14:00:00+00:00,181.3249969482422,181.50999450683594,180.8300018310547,181.47500610351562,181.47500610351562,95953.0,AME,2024-03-12 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.6,-0.4000000000000002,0.0015177105955028747,,,False,,,,
95328,2024-03-12 15:00:00+00:00,181.4600067138672,181.50999450683594,181.08999633789062,181.30999755859375,181.30999755859375,41230.0,AME,2024-03-12 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.2,-0.6000000000000003,-0.000909263200838506,,,False,,,,
95329,2024-03-12 16:00:00+00:00,181.2949981689453,181.42999267578125,180.63999938964844,180.80999755859375,180.80999755859375,41563.0,AME,2024-03-12 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.8,-0.6000000000000003,-0.0027577078304157343,,,False,,,,
95330,2024-03-12 17:00:00+00:00,180.82000732421875,181.35000610351562,180.77999877929688,181.35000610351562,181.35000610351562,48352.0,AME,2024-03-12 17:00:00+00:00,0.5267,0.5859,0.5267,0.5859,1.0534,1.1718,0.5267,0.5859,2,0,0,2.0,0.0,0.0,inf,100.0,0.10533999999999999,0.10534,inf,100.0,0.11718000000000003,0.11717999999999999,inf,100.0,0.10533999999999999,0.10534,inf,100.0,0.11718000000000002,0.11717999999999999,inf,100.0,0.21067999999999998,0.21068,inf,100.0,0.23435999999999998,0.23435999999999998,inf,100.0,0.10533999999999999,0.10534,inf,100.0,0.11718000000000002,0.11717999999999999,inf,100.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,50.0,0.4,-0.40000000000000013,0.0029866077772988664,0.7266019055374295,0.27339809446257046,False,,,,
95331,2024-03-12 18:00:00+00:00,181.33999633789062,182.1790008544922,181.02000427246094,182.1199951171875,182.1199951171875,49969.0,AME,2024-03-12 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,0.0,0.0,0.0,50.0,0.10533999999999999,0.05267,0.0,49.999999999999986,0.11718000000000003,0.05859000000000001,0.0,50.0,0.10533999999999999,0.05267,0.0,50.0,0.11718000000000002,0.05859000000000001,0.0,50.0,0.21067999999999998,0.10534,0.0,50.0,0.23435999999999998,0.11718000000000002,0.0,50.0,0.10533999999999999,0.05267,0.0,50.0,0.11718000000000002,0.05859000000000001,inf,100.0,0.8,0.6000000000000002,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.004245872554492047,0.3862549827624545,0.5207230109370737,False,,,,
95332,2024-03-12 19:00:00+00:00,182.1790008544922,182.35000610351562,181.72000122070312,181.82000732421875,181.82000732421875,111919.0,AME,2024-03-12 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,0.0,0.0,0.0,50.0,0.10533999999999999,-7.734628919725282e-18,0.0,49.999999999999986,0.11718000000000003,-1.0006814294413492e-17,0.0,50.0,0.10533999999999999,-7.734628919725282e-18,0.0,50.0,0.11718000000000002,-1.0006814294413492e-17,0.0,50.0,0.21067999999999998,-1.5469257839450564e-17,0.0,50.0,0.23435999999999998,-2.0013628588826985e-17,0.0,50.0,0.10533999999999999,-7.734628919725282e-18,0.0,50.0,0.11718000000000002,-1.0006814294413492e-17,inf,100.0,1.2,0.6,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-0.0016471985559615154,0.4761441541397915,0.41751184394679486,False,,,,
95333,2024-03-13 13:00:00+00:00,181.82000732421875,181.82000732421875,181.07000732421875,181.7100067138672,181.7100067138672,32223.0,AME,2024-03-13 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.4,-0.40000000000000013,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-0.0006049972825895589,0.46951309376239586,0.4249513448294387,False,,,,
95334,2024-03-13 14:00:00+00:00,181.67999267578125,181.67999267578125,180.8800048828125,181.05999755859375,181.05999755859375,48962.0,AME,2024-03-13 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-0.003577178643204726,0.46446094135228755,0.4306394528537774,False,,,,
95335,2024-03-13 15:00:00+00:00,181.0500030517578,181.7899932861328,180.97999572753906,181.52000427246094,181.52000427246094,36633.0,AME,2024-03-13 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0025406313932945235,,,False,,,,
95336,2024-03-13 16:00:00+00:00,181.52000427246094,182.22000122070312,181.52000427246094,182.0,182.0,38899.0,AME,2024-03-13 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,50.0,0.0,0.0,0.0026443131128324193,,,False,,,,
95337,2024-03-13 17:00:00+00:00,182.02999877929688,182.1649932861328,181.80999755859375,181.82000732421875,181.82000732421875,63763.0,AME,2024-03-13 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,50.0,0.0,0.0,-0.0009889707460508657,,,False,,181.51625188191733,,
95338,2024-03-13 18:00:00+00:00,181.74000549316406,181.75999450683594,180.66000366210938,180.88999938964844,180.88999938964844,60276.0,AME,2024-03-13 18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.005114992284165565,,,False,,181.49041875203451,-0.17108033323107474,
